scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_teacher_improvement,quality_selected_action,plan_control_selected_action,dist_mean_selected_action,temporal_profile_selected_action,dirp_joint_selected_action,quality_value,plan_control_value,dist_mean_value,temporal_profile_value,dirp_joint_value,cv_occ_selected_action,local_rf_selected_action,plan_rf_selected_action,cv_occ_value,local_rf_value,plan_rf_value,pc_occupancy_robust_selected_action,pc_occupancy_robust_value,rsm_occ_delta_cv,rsm_occ_delta_ca,rsm_occ_delta_brake,rsm_occ_delta_yield,rsm_occ_delta_nonyield,risk_delta_l1,delta_hard_agent_risk,delta_soft_agent_risk,delta_agent_ttc_risk,delta_hard_off_route_risk,delta_soft_off_route_risk,delta_red_light_risk,teacher_bucket,quality_accept,cv_occ_accept,local_rf_accept,plan_rf_accept,v44_robust_accept,current_risk_all_zero,cv_to_local_local_only,cv_to_local_cv_only,local_to_plan_plan_only,local_to_plan_local_only,v44robust_to_plan_plan_only,v44robust_to_plan_v44_only,teacher_bucket_v46,plan_control_accept,dist_mean_accept,temporal_profile_accept,dirp_joint_accept,plan_to_dist_mean_dist_mean_only,plan_to_dist_mean_plan_only,plan_to_temporal_profile_temporal_profile_only,plan_to_temporal_profile_plan_only,plan_to_dirp_joint_dirp_joint_only,plan_to_dirp_joint_plan_only,plan_control_material_miss,dist_mean_material_miss,temporal_profile_material_miss,dirp_joint_material_miss
d3578202f06d5c62,0,1,25,1,26,8.269424438478445e-05,26,26,26,26,26,0.0287158139428701,0.151317305638604,0.1701024781658539,0.0424584742303968,0.0517621280223863,26,26,26,0.1925093494038307,0.1370184191482259,0.151317305638604,26,0.2158341984730261,0.0228910148143768,0.0233097150921821,0.0207818448543548,0.0229797735810279,0.0228892043232917,0.003257195057813,0.0,0.0,0.003257195057813,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,False,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
e7ee1c000ef85255,0,1,16,1,9,0.0005864605173468,-1,-1,-1,-1,-1,-0.093633081790793,-0.3276380849938275,-0.2938378011244648,-0.1664049029150963,-0.1494003913128352,-1,-1,-1,-0.0991679970310442,-0.2912657928808043,-0.3276380849938275,-1,-0.1399099976349074,-0.0007735192775726,0.0032031834125518,0.0167538970708847,-0.0384287983179092,0.0062668025493621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,False,False,False,False,False,True,False,False,False,False,False,False,positive_le_0p001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
e8a90962974f55d3,0,1,12,1,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
f390221c855a53d1,0,1,17,1,23,0.0001769104883706,23,-1,-1,-1,-1,0.059610245492826,-0.4263632346232989,-0.30717427669648,-0.5493933688925878,-0.3187919108007695,-1,-1,-1,-0.3590958551692972,-0.304726484596668,-0.4263632346232989,-1,-0.4294758426262748,-0.0585164129734039,-0.0585164129734039,-0.0585164129734039,-0.0585164129734039,-0.0585164129734039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,False,False,False,False,True,False,False,False,False,False,False,positive_le_0p001,False,False,False,False,False,False,False,False,False,False,False,False,False,False
f473bc020969511e,0,1,24,1,2,0.002340053756078,2,2,2,2,2,0.0950357986100444,0.4570656606410929,0.4205687134061483,0.1031294646935376,0.1320667866285765,2,2,2,0.4613874744652752,0.4324540908655611,0.4570656606410929,2,0.4599787280098438,0.0511996001005172,0.0509761869907379,0.0527307987213134,0.034071534872055,0.0503490194678306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_0.001_to_0.01,True,True,True,True,True,True,False,False,False,False,False,False,positive_0p001_to_0p01,True,True,True,True,False,False,False,False,False,False,False,False,False,False
5eae283cb1b95a45,0,1,6,1,25,0.0002113920846953,25,25,25,-1,-1,0.0061142925815621,0.1371437429675622,0.1391086518033447,-0.0124342204723719,-0.0033065172478473,25,25,25,0.2087169798885038,0.1271613012495833,0.1371437429675622,25,0.2366079421141258,0.0283147990703582,0.0283132642507553,0.026849091053009,0.0282574445009231,0.0282980650663375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,True,False,False,False,False,False,False,positive_le_0p001,True,True,False,False,False,False,False,True,False,True,False,False,False,False
ea5915d23f345a29,0,1,6,1,26,-6.736000906726325e-06,-1,-1,-1,26,-1,-0.0045023133482451,-0.0083962032591082,-0.0098309954785337,0.0010693339964242,-0.0086412233383376,26,26,-1,0.0019533592092939,0.0001031591393205,-0.0083962032591082,26,0.0201023700015433,0.0009022057056427,0.0009022206068038,0.0050328373908996,0.0009022206068038,0.0009022206068038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,True,False,True,True,False,False,False,True,False,True,mild_harm,False,False,True,False,False,False,True,False,False,False,False,False,False,False
190d01845dda5596,0,1,4,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
247baf6242815059,0,1,20,1,12,-0.0004707026612013,-1,-1,-1,12,12,-0.0123605343936148,-0.02341730702211,-0.073731485934605,0.0729013390576637,0.0859719373819632,-1,-1,-1,-0.0092847535380214,-0.033125101559617,-0.02341730702211,-1,-0.0087677729556686,0.0004298537969589,0.0004298537969589,0.0004298537969589,0.0004298537969589,0.0004298537969589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,False,False,False,False,True,False,False,False,False,False,False,mild_harm,False,False,True,True,False,False,True,False,True,False,False,False,False,False
273d4e72b01d53cf,0,1,14,1,8,-1.5629368781690487,-1,-1,-1,-1,-1,-0.1434606417850462,-0.209721622053359,-0.2218593896548009,-0.147285777682038,-0.1708290467310554,-1,-1,-1,-0.1795060099019919,-0.1996490021960077,-0.209721622053359,-1,-0.1855648366752049,-0.0050375312566757,-0.0050375312566757,-0.0050375312566757,-0.0050375312566757,-0.0050375312566757,0.5600485801696777,0.0,0.0,0.0,0.0,-0.5600485801696777,0.0,catastrophe,False,False,False,False,False,False,False,False,False,False,False,False,catastrophe,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275e9cfb52fd59de,0,1,12,1,8,0.1272746219409324,8,8,8,8,8,0.8503470886511855,0.7690258314863265,0.7569038565443189,1.609782160674074,1.725097059887417,-1,8,8,-0.078982179567552,0.4222512036163043,0.7690258314863265,-1,-0.2351921981473232,-0.1298786997795105,-0.1298786997795105,-0.1298786997795105,-0.1298786997795105,-0.1298786997795105,1.7353537678718567,0.0,0.2327932119369506,0.1877898573875427,0.0,1.3147706985473633,0.0,positive_0.01_to_0.2,True,False,True,True,False,False,True,False,False,False,True,False,positive_0p01_to_0p2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
4082f94c512b5d1f,0,1,14,1,23,-0.0001477490439216,23,23,23,23,23,0.0623746466086376,0.0446338058483341,0.0419900148328259,0.0340932615731502,0.0161217894550134,23,23,23,0.0849517948087658,0.0772657833055263,0.0446338058483341,23,0.0887467635081696,0.0031552761793136,0.0031552761793136,0.0031552761793136,0.0031552761793136,0.0031552761793136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,True,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,True,True,False,False,False,False,False,False,False,False,False,False
421dd5398e885a27,0,1,18,1,22,-0.0001146473528817,-1,22,22,-1,-1,-0.0352352273513206,0.0139336406865323,0.0014226628132753,-0.0496720317465793,-0.0732454152682115,22,22,22,0.0443366421848805,0.0922867831023224,0.0139336406865323,22,0.0577118911111305,0.0111206024885177,0.0111206024885177,0.0111206024885177,0.0111206024885177,0.0111206024885177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,False,False,False,False,False,True,False,True,False,False,False,False
53620555ea3a5d3c,0,1,9,1,21,0.0,21,21,21,21,21,0.0067529051210481,0.0067529051210481,0.0067529051210481,0.0067529051210481,0.0067529051210481,21,21,21,0.0067529051210481,0.0067529051210481,0.0067529051210481,21,0.0067529051210481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,True,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,True,True,False,False,False,False,False,False,False,False,False,False
60bd62401d0857f9,0,1,15,1,22,-5.674398746347009e-05,-1,-1,-1,22,22,-0.0121935079385841,-0.0961938792909079,-0.110277169877034,0.0287723942499684,0.0245874746663803,-1,-1,-1,-0.1169141001299203,-0.0794863384584572,-0.0961938792909079,-1,-0.1345164049499226,-0.0146352499723434,-0.0146352499723434,-0.0146352499723434,-0.0146352499723434,-0.0146352499723434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,False,False,False,False,True,False,False,False,False,False,False,mild_harm,False,False,True,True,False,False,True,False,True,False,False,False,False,False
6db53a1807af5a90,0,1,13,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8e6c888a92425ff1,0,1,6,1,1,0.0003081311788877,1,1,1,1,1,0.0521968366695759,0.0627251663790884,0.0729199736610071,0.0924817252690437,0.0929586130764532,1,1,1,0.0644924536431716,0.0569451574447518,0.0627251663790884,1,0.0665591642426713,0.0017183721065521,0.0017183721065521,0.0017183721065521,0.0017183721065521,0.0017183721065521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,True,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
9a82cf7a1636581e,0,1,5,0,2,-0.0042642683826388,-1,-1,-1,-1,-1,-0.1598536188358614,-0.054799058037661,-0.0390667469402104,-0.1772170275230565,-0.171817800300783,-1,-1,-1,-0.0154277089185361,-0.0692530214216886,-0.054799058037661,2,0.0088487433495607,0.0201842933893203,0.0201842933893203,0.0201842933893203,0.0201842933893203,0.0201842933893203,0.0037404000759124,0.0,0.0,-0.0037404000759124,0.0,0.0,0.0,mild_harm,False,False,False,False,True,False,False,False,False,False,False,True,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c70bcca6e16953d7,0,1,14,1,10,0.0003409750871363,10,10,10,10,10,0.0752100460989838,0.7629628721326067,0.8598245345593793,0.5173086427411216,0.6527768971185683,10,10,10,0.8068286731284957,0.7894206728813776,0.7629628721326067,10,0.929805775775706,0.1022475957870483,0.1022475957870483,0.1022475957870483,0.1022475957870483,0.1022475957870483,0.0087832957506179,0.0,1.0132789611816406e-05,-0.0087731629610061,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,False,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
d04f957744a353ba,0,1,10,1,21,0.0001638741232454,21,21,21,21,21,0.0169632424585069,0.0285325340522499,0.0302511939012316,0.024442792724174,0.011115201684535,21,21,21,0.0792780425899337,0.0726412726235478,0.0285325340522499,21,0.0897524372458975,0.0087088197469711,0.0087088197469711,0.0087088197469711,0.0087088197469711,0.0087088197469711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,True,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
d0c144dfeca55025,0,1,25,1,22,-0.0001029941059838,22,22,22,22,22,0.0429783550516964,0.0666560796838154,0.0701804093378291,0.0449017372025562,0.0482752470846954,22,22,22,0.0809643004834607,0.0649353592665959,0.0666560796838154,22,0.0873494009465371,0.0053087472915649,0.0053087472915649,0.0053087472915649,0.0053087472915649,0.0053087472915649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,True,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,True,True,False,False,False,False,False,False,False,False,False,False
f6cbfc9328fd5914,0,1,5,1,15,0.0028377727983173,15,15,15,15,15,0.3883445684730002,0.2910063174585033,0.2765014662730711,0.5127817986639692,0.5121612500914055,15,15,15,0.123794042875699,0.2882346127379755,0.2910063174585033,15,0.0793259848243739,-0.0369723439216613,-0.0369723439216613,-0.0369723439216613,-0.0369723439216613,-0.0369723439216613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_0.001_to_0.01,True,True,True,True,True,True,False,False,False,False,False,False,positive_0p001_to_0p01,True,True,True,True,False,False,False,False,False,False,False,False,False,False
d0ce91bcf7ba557a,0,1,2,1,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00bf712a8e9e59bf,0,1,1,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
07db46e8eac253cf,0,1,12,1,16,0.7593208522055517,16,16,16,16,16,0.2687226301796579,0.3690609113546571,0.3032841320718581,0.2180433677549827,0.3112630335465859,16,16,16,0.3153238033243798,0.3613430522076556,0.3690609113546571,16,0.2949184067920173,0.0065127611160278,0.0046527832746505,-0.0055857598781585,0.0189900249242782,0.0067809969186782,0.0489933490753173,0.0,-0.0215778350830078,-0.0274155139923095,0.0,0.0,0.0,material_positive_gt_0.2,True,True,True,True,True,False,False,False,False,False,False,False,material_positive_gt_0p2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
13adf1483845581c,0,1,18,1,21,0.0006412762776015,21,-1,-1,21,21,0.0523072133323107,-0.0964926144473423,-0.1443142929459384,0.0588232160887928,0.0193252066244126,21,-1,-1,0.0794082624107477,-0.0809565661551853,-0.0964926144473423,-1,-0.141269057570695,0.0037875175476074,0.0041110068559646,-0.0198245048522949,-0.0518419444561004,0.0042796730995178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,True,False,False,False,True,False,True,False,False,False,False,positive_le_0p001,False,False,True,True,False,False,True,False,True,False,False,False,False,False
2ffe7083e279569c,0,1,15,1,3,0.000160507233395,3,3,3,3,3,0.0630176207662971,0.2210334466056761,0.1668014486858335,0.037580785030838,0.028253407712653,3,3,3,0.0464216584309782,0.2486712578215897,0.2210334466056761,3,0.0436318786323072,-0.0023193955421447,-0.0023193955421447,-0.0023193955421447,-0.0023193955421447,-0.0023193955421447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,True,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
36857cb219845df9,0,1,14,1,7,0.0001324263616466,7,7,7,7,7,0.0287530144064284,0.3507405859052262,0.3926310825135402,0.0741693090077718,0.1164098408202507,7,7,7,0.5110100409682137,0.2675835115268691,0.3507405859052262,7,0.592072401340132,0.0673980116844177,0.0673980116844177,0.0673980116844177,0.0673980116844177,0.0673980116844177,0.1396608054637909,0.0,0.0,-0.1396608054637909,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,False,False,False,False,False,False,False,positive_le_0p001,True,True,True,True,False,False,False,False,False,False,False,False,False,False
6f8bc109eabc5ad5,0,1,4,1,19,-4.585174424573402e-06,-1,-1,-1,19,19,-0.0047951377439345,-0.0167577219859858,-0.0187555585048359,0.0063825078031543,0.0056341373812845,19,-1,-1,0.0524480071244985,-0.015741327149458,-0.0167577219859858,-1,-0.0139788626743634,0.0080000460147857,-0.0001940727233886,-0.0032135695219039,-0.0039316415786743,-0.0014045238494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,False,False,False,True,False,True,False,False,False,False,mild_harm,False,False,True,True,False,False,True,False,True,False,False,False,False,False
8fbfbaa44855539e,0,1,16,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
b66888a9942d59ff,0,1,5,1,22,0.0031217700053006,22,22,22,22,22,0.0265710234402383,0.6550167855500851,0.7750070587550404,0.7046953020347282,0.9053253858444686,22,22,22,0.5911571235721845,0.6194142985981794,0.6550167855500851,22,0.6177736568527427,0.0789039134979248,0.0679297000169754,0.0800383985042572,0.0800383985042572,0.0638471245765686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_0.001_to_0.01,True,True,True,True,True,True,False,False,False,False,False,False,positive_0p001_to_0p01,True,True,True,True,False,False,False,False,False,False,False,False,False,False
e4f303186cdb50b1,0,1,4,1,19,-4.364564421121576e-06,-1,-1,-1,19,19,-0.0038601199243871,-0.0155197912551987,-0.0175623738124097,0.007581341442112,0.0068497287722269,19,-1,-1,0.0562150636943744,-0.0145058374940227,-0.0155197912551987,-1,-0.0122025518075738,0.0083958208560943,6.9141387939453125e-06,-0.003474086523056,-0.0039959251880645,-0.0012692213058471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,False,False,False,True,False,True,False,False,False,False,mild_harm,False,False,True,True,False,False,True,False,True,False,False,False,False,False
ee17abab9d83514f,0,1,4,0,17,-5.260109603405505e-05,17,17,17,17,17,0.0290811394858199,0.0281285182939972,0.0197785293394077,0.0266347129652206,0.0301196974388793,17,17,17,0.0416856786854058,0.0233258521534263,0.0281285182939972,17,0.0259122693602232,0.0017615407705307,0.0012857615947723,0.0064759701490402,-0.0024541169404983,0.0016099512577056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,True,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,True,True,False,False,False,False,False,False,False,False,False,False
5b4aedf8449c54ca,0,1,4,1,1,0.0013290141742676,1,1,1,1,1,0.0097787206852421,0.0930150570400647,0.0967493883085164,0.1616196518181817,0.1688076393633421,1,1,1,0.4690962965058089,0.0223842217209634,0.0930150570400647,1,0.5463025363259233,0.0641920715570449,0.0641920715570449,0.0641920715570449,0.0641920715570449,0.0641920715570449,0.2763125002384186,0.0,0.0,0.2763125002384186,0.0,0.0,0.0,positive_0.001_to_0.01,True,True,True,True,True,False,False,False,False,False,False,False,positive_0p001_to_0p01,True,True,True,True,False,False,False,False,False,False,False,False,False,False
73458ba61f445d19,0,1,16,1,9,-2.754281880346099e-06,-1,-1,-1,-1,-1,-0.061770231552315,-0.0832965376476199,-0.0943466145973742,-0.0599912988251333,-0.0519788405355846,-1,-1,-1,-0.113735903336748,-0.0844466508484729,-0.0832965376476199,-1,-0.1224707997688339,-0.0072624832391738,-0.0072624832391738,-0.0072624832391738,-0.0072624832391738,-0.0072624832391738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,False,False,False,False,True,False,False,False,False,False,False,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7647b4788f795d71,0,1,1,1,1,0.0035336643615271,1,-1,-1,-1,-1,0.0055434356433971,-0.2864541924178065,-0.3204048844745039,-0.0224917008307475,-0.0642762311175392,-1,-1,-1,-0.4180101466014826,-0.2002788140531171,-0.2864541924178065,-1,-0.4892049849891297,-0.059193879365921,-0.059193879365921,-0.059193879365921,-0.059193879365921,-0.059193879365921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_0.001_to_0.01,True,False,False,False,False,True,False,False,False,False,False,False,positive_0p001_to_0p01,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8f2f7b6da7495074,0,1,22,1,6,-0.0030044126219674,-1,-1,-1,-1,-1,-0.0358698711474278,-0.1059026945060578,-0.1175251741167981,-0.0303347251728119,-0.0474873431028889,-1,-1,-1,-0.1347660972582947,-0.1022991323801414,-0.1059026945060578,-1,-0.1513894751457037,-0.0138212740421295,-0.0138212740421295,-0.0138212740421295,-0.0138212740421295,-0.0138212740421295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,False,False,False,False,True,False,False,False,False,False,False,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c23e9cc0ed7e5b21,0,1,17,1,3,0.0016556329336947,3,3,3,-1,-1,0.03126945233161,0.1661997328130386,0.1863128193040409,-0.0188581616799334,-0.0090779513547113,3,3,3,0.1304044161061521,0.1476092530082209,0.1661997328130386,3,0.1471678062885687,0.0138546377420425,0.0138528645038604,0.0138622820377349,0.0138592571020126,0.0138496458530426,0.0011327862739562,0.0,0.0,0.0011327862739562,0.0,0.0,0.0,positive_0.001_to_0.01,True,True,True,True,True,False,False,False,False,False,False,False,positive_0p001_to_0p01,True,True,False,False,False,False,False,True,False,True,False,False,False,False
