split,scenario_token,teacher_improvement,material_positive,catastrophe,K,proposal_action,rsmr_accept,rsmr_post_value,quality_accept,quality_post_value,plan_control_accept,plan_control_post_value,ego_ref_accept,ego_ref_post_value,sign_nomult_accept,sign_nomult_post_value,sign_mult_accept,sign_mult_post_value,mult_minus_nomult_accept
A,2170ad1c7d1955c8,-0.0007716621518135073,0,0,27,24,1,0.0,0,-0.07968339235466869,1,0.07530478113805568,1,0.09474381291331642,1,0.7306671485339419,1,0.7933034093772253,0
A,2397e6e323445152,-0.00055950678139925,0,0,14,9,1,0.0,0,-0.09748881657041149,1,0.05908725979072173,1,0.09829616908549481,1,0.8648793700909256,1,0.41869184497214584,0
A,23aa042368b05a1e,0.9291745874814689,1,0,23,23,1,0.0,1,0.009032234095414888,0,-0.4950741068604937,0,-0.4880403255809867,0,-0.527830911823665,0,-0.1070173927790361,0
A,253338b7669e54ce,0.0,0,0,30,20,1,0.0,1,0.006194802888276233,1,0.006194802888276233,1,0.006194802888276233,1,0.4566667424565837,1,1.0098943748767628,0
A,2629a49965355a52,-0.00014237542330520223,0,0,23,25,1,0.0,0,-0.0683607333461269,0,-0.010453107724044078,0,-0.0011470701459880273,1,0.46614509000501453,0,-0.4535672682140912,-1
A,28f2e9a8bd0a5c6d,-0.00011742985060259059,0,0,26,23,1,0.0,0,-0.08255721701252242,0,-0.1268490738077414,0,-0.07358442656778191,1,0.6097915284546894,1,1.0582041779395153,0
A,290bb07604a1598f,-0.00039817853979766393,0,0,20,13,1,0.0,0,-0.04700270521464418,1,0.2544533374821037,1,0.33184531252501304,1,1.6432253338114076,1,1.898204654897581,0
A,2d02e05f30f85ee7,-7.229136605928942e-06,0,0,30,0,1,0.0,0,-0.04821050782361508,0,-0.104800575963656,0,-0.10036926026697315,1,0.23550925504963982,1,0.3687096123360558,0
A,308d37e56d105403,0.0,0,0,16,21,1,0.0,0,-0.10667516724609971,0,-0.10667516724609971,0,-0.10667516724609971,1,0.16102042735915734,0,-0.33385061817415784,-1
A,32506188517c5583,0.012817592561617408,0,0,17,9,1,0.0,1,0.08996074971108489,1,0.6952952239626429,1,0.8702731221109921,1,3.514288161334533,1,2.4747233597796363,0
A,33ccc112b55858cb,0.01129817419764012,0,0,18,0,1,0.0,1,0.12701775763803413,0,-0.21073675345533738,0,-0.1633256834649222,1,0.4919637642034662,1,0.09243808235524453,0
A,33e6bf223a0e5b50,-5.869666738433921e-05,0,0,18,4,1,0.0,0,-0.01307544086792517,0,-0.17577323960958152,0,-0.1842472355322525,0,-0.010428089677170571,1,0.3136750483446046,1
A,3591f3fa5f0c5ec4,-0.00010009753331541305,0,0,23,24,1,0.0,0,-0.03279698230036681,1,0.0885393310367002,1,0.1070108607050641,1,0.7743582321665539,0,-0.5694020482641637,-1
A,37d34cdcd4795a3b,-0.00036087010458357716,0,0,18,9,1,0.0,0,-0.07390474805879775,0,-0.0438664012003008,0,-0.00031635575121224946,1,0.7007938541666263,1,0.9161648308337015,0
A,3cf7d536dc255e8b,-1.0221770405660635e-05,0,0,26,1,1,0.0,0,-0.011248492008996362,1,0.02062044057874902,1,0.014615667058644522,1,0.4237570208918928,1,0.8570623367212282,0
A,3f5d8dfb5cde510f,-0.0001217968700024663,0,0,31,19,1,0.0,1,0.00306099094812441,0,-0.016119233152241605,1,0.11987521726864302,1,1.6295026271711897,1,1.9260067420555051,0
A,428603a45b895f32,9.839923866161726e-06,0,0,29,19,1,0.0,0,-0.008268280605064605,0,-0.01483850049280775,0,-0.024189988491691294,1,0.3210578951826042,1,0.8181041019712396,0
A,44ee33c24c925bf8,-0.00012203147856038044,0,0,31,0,1,0.0,0,-0.08685746523399594,0,-0.11281418077150292,0,-0.021117616376243042,1,0.9820098313772513,1,1.447040705008016,0
A,4561526d92705993,-0.0008332379104569554,0,0,25,21,1,0.0,0,-0.09182410426174885,1,0.1268914632398747,1,0.1520872300932582,1,0.8839410500472764,1,0.17629117089612123,0
A,48d2da6595b65b0f,0.18177527866228482,0,0,28,0,1,0.0,0,-0.07165543028342111,0,-0.04764596766471234,0,-0.043054020208827204,1,0.34423540822312926,1,0.6142221584348031,0
A,4ba78363cf935b79,0.0007089000893756303,0,0,29,19,1,0.0,1,0.007548657751313674,1,0.07610850047061594,1,0.12819527393723837,1,1.071431520017373,1,1.5523792407712793,0
A,4fc9935fb6aa5a39,-1.620486978204383e-05,0,0,27,2,1,0.0,0,-0.058726473703998965,0,-0.044570190088726466,0,-0.040799935001972515,1,0.35009973026114705,1,0.759628949947075,0
A,513b358ad3bc58c3,-0.00017764282152055166,0,0,11,9,1,0.0,0,-0.02137925626288303,1,0.08280422364497099,1,0.135101256905307,1,1.07210719169889,1,0.9956987797980967,0
A,51a2561697ba54e1,0.0,0,0,28,19,1,0.0,1,0.014139080476088566,1,0.014139080476088566,1,0.014139080476088566,1,0.47747561121194504,1,1.0544858640120411,0
A,5263987d483a5502,-0.0017779682591557498,0,0,27,7,1,0.0,0,-0.07836141172161168,1,0.2532405268424257,1,0.22097844326640895,1,0.6395210891634271,1,0.936442060077377,0
A,55003887e4d85257,-0.000500579446821939,0,0,26,25,1,0.0,0,-0.0384571406704037,0,-0.00606956283983081,0,-0.007680882933883238,1,0.39302534786922316,1,0.7846894945620482,0
A,57dec334c6c75d5a,0.0,0,0,30,19,1,0.0,0,-0.014831068144974896,0,-0.014831068144974896,0,-0.014831068144974896,1,0.40159256032209945,1,0.6392995125083945,0
A,57ed03577e4d56d4,4.5093494653647426e-05,0,0,26,14,1,0.0,1,0.01021727872205756,1,0.009377062519416678,1,0.011617209331631186,1,0.48556029302206505,1,0.2208231931929725,0
A,5869a5b50c28589d,0.0004477073905058207,0,0,7,7,1,0.0,0,-0.09472591288821926,0,-0.07785020289448204,0,-0.04967973447370289,1,0.4806026695109987,0,-0.892915807047175,-1
A,58cefdb052ef5188,0.0,0,0,17,19,1,0.0,0,-0.034558254641773326,0,-0.034558254641773326,0,-0.034558254641773326,1,0.34992009165683247,1,0.446639475643836,0
A,58da80bc6e5a5e22,-4.1959678157788005e-05,0,0,24,0,1,0.0,0,-0.04833499512352417,0,-0.04744791445758663,1,0.013204221833534167,1,0.8603282078420657,1,1.244981578998347,0
A,5bbaf57640125bfa,0.0,0,0,26,16,1,0.0,0,-0.04258996508863837,0,-0.04258996508863837,0,-0.04258996508863837,1,0.3288822053641528,1,0.906910418777514,0
A,5d658fbbdfea5568,0.0006859854551031219,0,0,24,17,1,0.0,0,-0.03127576986562487,0,-0.052015251572650245,0,-0.007492462148706344,1,0.714911502177691,1,0.9924684980788213,0
A,5ee84eb6edcd5229,-0.00094001401513788,0,0,30,21,1,0.0,0,-0.11449810959511436,0,-0.10186499906020047,0,-0.05985556075974788,1,0.5442022836911039,1,0.6409934220781406,0
A,614cc4b0f714546a,-0.9797627661389647,0,1,29,23,1,0.0,0,-0.05393575816921767,1,0.3081150652573702,1,0.37539898718032694,1,1.6611224553720416,1,2.172087359451468,0
A,68db3037ed28516f,-0.00038091837838294396,0,0,30,3,1,0.0,0,-0.056222952564447634,1,0.5315484480860075,1,0.5430974949102748,1,1.6270809833281255,1,2.060481426967389,0
A,6a4f0be079db5041,0.0009073179010306021,0,0,8,7,1,0.0,1,0.32863860122172406,1,0.36633005262003887,1,0.3655183392164984,1,1.3728599404173614,1,1.2028870620033216,0
A,6bdaede8d0a85f03,0.0,0,0,31,21,1,0.0,0,-0.03241800609779299,0,-0.03241800609779299,0,-0.03241800609779299,1,0.355526158484591,1,0.4522071373001574,0
A,6e650ea27f9e5aad,-2.2838306427002113e-05,0,0,15,2,1,0.0,0,-0.031122065529703244,0,-0.029838570662329963,0,-0.03089605964056056,1,0.352111103218273,0,-0.5477416387409586,-1
A,6e85e0e72bcc5b16,0.0,0,0,19,21,1,0.0,0,-0.05226811798207367,0,-0.05226811798207367,0,-0.05226811798207367,1,0.30353170481482916,1,0.2829587165127313,0
A,70478d3e2da050cf,0.98969708685996,1,0,24,19,1,0.0,0,-0.0386370366209739,1,0.06707449797330145,1,0.08898080649252774,1,0.7572017756040643,1,0.8605638430184279,0
A,72550ba5bba45f68,-5.3564434777886305e-05,0,0,25,10,1,0.0,0,-0.02673326840510563,0,-0.0262572444972547,0,-0.02079322972330698,1,0.4204779885052701,1,0.7591923312189561,0
A,7548230c2e045932,1.0999679565422416e-06,0,0,25,11,1,0.0,1,0.0028111450906314795,0,-0.0038114128262767334,0,-0.003700657716938447,1,0.43493732662291107,1,0.3435905377559726,0
A,78ebe4551cd95dfa,-4.386779293419352e-05,0,0,18,3,1,0.0,0,-0.061791014693391724,1,0.14853278304658885,1,0.2355656475787376,1,1.5003226043866822,1,1.6606354181926961,0
A,7a59404ed12c50d3,0.0,0,0,20,19,1,0.0,0,-0.0708188633113423,0,-0.0708188633113423,0,-0.0708188633113423,1,0.25494075106176617,1,0.08740892761660346,0
A,7b90827c00df58d7,0.0,0,0,26,18,1,0.0,0,-0.04548309036709429,0,-0.04548309036709429,0,-0.04548309036709429,1,0.3213040884684685,1,0.7385407913572603,0
A,7f4841eabe8e5fd4,0.00026857970692262256,0,0,31,19,1,0.0,1,0.028342990715945905,1,0.14100221065831006,1,0.2921752342059733,1,2.1079630984844515,1,2.3775692953883607,0
A,827eccddfb8f5775,-0.44973346748948095,0,0,8,7,1,0.0,0,-0.6220783446661591,0,-0.6196111247913175,0,-0.6342318596747483,0,-1.3151283719792206,0,-1.4377104182432625,0
A,8728b32fc47c5889,0.00041218074969947335,0,0,31,11,1,0.0,0,-0.020604107481672407,0,-0.10501384732515098,0,-0.031572128510010226,1,0.8692860749266783,1,1.3723438407797488,0
A,885e5a20bcc859eb,0.0,0,0,22,19,1,0.0,1,0.006776667162135361,1,0.006776667162135361,1,0.006776667162135361,1,0.4581908504921266,1,0.8093020711869363,0
A,88f56443257f5df4,0.00012968290139215265,0,0,25,19,1,0.0,1,0.02225663698031373,0,-0.05576477137581669,0,-0.13623979797094404,0,-0.38720100667717205,1,0.11428328974448176,1
A,89a8c6df01975db5,-0.12150448813475667,0,0,31,24,1,0.0,0,-0.03248519001609959,0,-0.09350475251219681,0,-0.043097790193799446,1,0.680275743487294,1,1.109442674526539,0
A,8d86328818cb5107,-9.675014466026255e-05,0,0,18,0,1,0.0,0,-0.04819392809942093,1,0.0016802345983347178,1,0.014271321119042335,1,0.5316538265926306,1,0.14017349483930086,0
A,8f94d6272a355099,0.0016623870508896132,0,0,27,19,1,0.0,0,-0.0027493896443812546,1,0.01141367541875226,1,0.04437215892436696,1,0.7588390302760876,1,0.5125178058022241,0
A,96b26551a7665c3e,-1.025527119646874e-05,0,0,6,10,1,0.0,1,0.07938747068765799,1,0.07948620898684447,1,0.07874084129664424,1,0.6418976745056495,1,0.27625430073374124,0
A,9a351585a39b56e7,0.4242116406112909,1,0,24,21,1,0.0,0,-0.025560042433939095,1,0.013600617317931784,1,0.01482353087645542,1,0.4664339671521919,0,-0.4361536099742154,-1
A,9a42d78145015329,0.0,0,0,26,17,1,0.0,0,-0.010240608839983477,0,-0.010240608839983477,0,-0.010240608839983477,1,0.4136165944961997,1,0.4540397125594783,0
A,9de436209562551c,0.00039608197032939274,0,0,31,25,1,0.0,0,-0.003281278513681805,0,-0.08025264784339503,0,-0.02740606250049283,1,0.7452911480843604,1,1.0600776611100335,0
A,a969b1f6569651d6,-0.00018860877510107343,0,0,27,10,1,0.0,0,-0.032499406774243164,0,-0.17397916751246034,0,-0.1694499150033733,1,0.09986807966761124,1,0.27317944089294555,0
A,a9d9c3052d7658f7,-0.00020283341519533593,0,0,8,10,1,0.0,0,-0.014068946154438797,0,-0.2939577573740997,0,-0.3525384098771464,0,-0.7082528436362217,0,-0.7577925514264507,0
A,aaab4ff12a5a52e5,-9.905405044552396e-05,0,0,28,21,1,0.0,0,-0.018020038636159842,0,-0.0006102068458716699,1,0.0252687792517017,1,0.6620635487395874,1,0.9176478523912768,0
A,ab4ef14574e45b62,0.0,0,0,29,18,1,0.0,0,-0.023490329562424587,0,-0.023490329562424587,0,-0.023490329562424587,1,0.3789108963995659,1,0.9565963810308745,0
A,ac02040979f85b19,-8.624088380304595e-05,0,0,30,21,1,0.0,0,-0.015046826637258565,0,-0.02031355645646859,1,0.04008044280307632,1,0.932323803440843,1,1.3165399484031393,0
A,ac42b117b17956ed,1.0510914947323502,1,0,9,21,1,0.0,0,-0.022281893886704467,1,0.21201625990076153,1,0.2827098919348054,1,1.5072678026845006,1,1.2658464306519457,0
A,ac52088246a95343,-0.0004528102353215217,0,0,28,23,1,0.0,0,-0.09261119965068754,0,-0.09581053568614349,0,-0.05296406660440217,1,0.5759109095921068,1,0.8263660676370587,0
A,aff36327aabb5515,-4.856995623558902e-05,0,0,6,24,1,0.0,0,-0.10661867660824416,0,-0.01706609118896603,0,-0.01776950552425588,1,0.3422848938807844,0,-0.013497552410245639,-1
A,b355cffce6c45f71,1.858461019920136,1,0,17,5,1,0.0,0,-0.05717374231167391,0,-0.17638614664396546,0,-0.15664579435875986,1,0.2184337217993526,0,-0.20245812253734718,-1
A,b60373ae0d435c75,0.0027937298343516884,0,0,28,25,1,0.0,1,0.08249503116910922,1,0.1697851676540737,1,0.23277140037575322,1,1.4048187235721112,1,1.5752606418254493,0
A,b9557ffd71885aa0,0.0,0,0,6,20,1,0.0,0,-0.09905712470419459,0,-0.09905712470419459,0,-0.09905712470419459,1,0.18097477130988482,0,-0.48263923372636586,-1
A,bb63ac58c83e5f3a,-1.2327635207820218,0,1,29,2,1,0.0,0,-0.05676731992273631,0,-0.017156007068828028,1,0.13669813917841472,1,1.7562160314431305,1,1.9215711001457092,0
A,bbce6b018c605752,0.0003631259631903959,0,0,30,0,1,0.0,0,-0.06875953307665308,0,-0.11844333565331674,0,-0.04657398247445785,1,0.8017117927858222,1,1.2920862112587153,0
A,c2b5fe647e0c586d,-0.03566622045934187,0,0,14,8,1,0.0,0,-0.06755892980251968,0,-0.06149400238372076,0,-0.061465945570544724,1,0.2764254610622877,1,0.3182592429605563,0
A,c3578ffab4b450f1,0.002678432080987841,0,0,16,1,1,0.0,0,-0.03560294942635128,0,-0.11470207044248544,0,-0.05843356984370633,1,0.6869036582022181,1,0.5259565552869855,0
A,c38f3b11dbb95dc4,4.270107895187891e-05,0,0,20,14,1,0.0,1,0.04582864505416861,1,0.29775062864876095,1,0.39888034080091067,1,1.9958665930388446,1,2.188890425630989,0
A,c5e84e050cd85c42,-0.005038205215428082,0,0,18,6,1,0.0,0,-0.09118344823476471,0,-0.18280340376934529,0,-0.2748184867317284,0,-0.8164284923399856,0,-0.2508574941299928,0
A,c64a648a9a695a6a,1.7653631151041018,1,0,6,1,1,0.0,1,0.1967774611091913,1,0.27678792043842465,1,0.2852199011468449,1,1.1990479778426706,1,0.6845427707964793,0
A,c7fe7af632de5162,0.0006910689019596905,0,0,25,0,1,0.0,0,-0.10495635577041348,0,-0.10607302227032712,0,-0.1069730002389101,1,0.15510389981507122,1,0.06850950454948102,0
A,c9a40093f6f850d6,-0.9267415123037993,0,1,22,19,1,0.0,1,0.00556074316756348,0,-0.05641816140531969,0,-0.04607118223938306,1,0.41819720133788574,1,0.48492681979613506,0
A,ca5cee90882c5592,-0.0001565277425571998,0,0,16,9,1,0.0,0,-0.048312805278923725,1,0.009540476897261431,1,0.05249980727265748,1,0.8207402179284076,1,0.5546162257693715,0
A,cb02784d74165467,0.0,0,0,30,22,1,0.0,0,-0.018868387547811078,0,-0.018868387547811078,0,-0.018868387547811078,1,0.39101739490920173,1,0.7070575920053745,0
A,ccd97c2696bc5d7e,-1.4407228678292583e-05,0,0,16,3,1,0.0,0,-0.027585024512769427,0,-0.024928244995892215,0,-0.024915954532807046,1,0.3738564299428052,0,-0.12226643543839422,-1
A,d3617337a1685034,4.215182214975348e-05,0,0,30,11,1,0.0,0,-0.024324013454773922,0,-0.024735800855402106,1,0.1760121697163055,1,2.178520619866635,1,1.9779546059539859,0
A,d386255f493a5dda,-0.0002850056530616712,0,0,26,21,1,0.0,0,-0.09845494761871044,0,-0.17644138037924378,0,-0.12191536596110271,1,0.5089539334284434,1,0.877227035762604,0
A,d56942c27fe05bc8,-0.007508544425293806,0,0,18,1,1,0.0,1,0.021885021525524823,1,0.019088537661446487,1,0.02397077045081993,1,0.5357529005551754,1,0.8013839721821132,0
A,d6e9a1f095aa5e17,-0.000654702203534363,0,0,30,20,1,0.0,1,0.2362082797626508,1,0.2737987692712103,1,0.2876785789227354,1,1.2624663498266324,1,1.6126357271606109,0
A,d933554aba9e5800,-1.251486543853022,0,1,19,4,1,0.0,0,-0.04275709008725776,0,-0.011766376648271907,0,-0.0682408112202327,0,-0.1138153340753203,1,0.3751890250768156,1
A,da2a2bb0538a5c0f,0.6669027996208836,1,0,3,4,1,0.0,1,0.263421050975118,0,-0.01564137943401328,0,-0.2056820251696304,0,-1.1601494126961402,0,-2.0415023898208444,0
A,def9b604e6125545,2.4312339152787743e-05,0,0,18,17,1,0.0,0,-0.025643669320094344,0,-0.06461953814132901,0,-0.0720373637281598,1,0.2250845124039519,0,-0.2564324958048869,-1
A,e41e12276f3f5bfa,0.00010162918437273127,0,0,26,7,1,0.0,0,-0.00844503837956236,0,-0.011560125287998999,0,-0.03711790260882453,1,0.18229895806865115,1,0.5588849980547304,0
A,e6aee3828e5e5fcc,-0.0007365586519241327,0,0,30,17,1,0.0,1,0.6815963265003857,1,1.1060684788108455,1,1.2722721652445008,1,4.606657364869026,1,4.466846515186167,0
A,e97adfaea02f5a8c,-0.0021063738511351016,0,0,29,18,1,0.0,0,-0.04809912648626741,0,-0.014196347080198256,1,0.07331993484186725,1,1.1712794622284355,1,1.4682409541513053,0
A,f8e89d6990f755fe,0.0,0,0,29,23,1,0.0,1,0.005697201077401618,1,0.005697201077401618,1,0.005697201077401618,1,0.4553633475713389,1,0.8716816581207693,0
A,fa1f8f2ab8345c3c,-0.0008917084157467059,0,0,28,20,1,0.0,0,-0.20762726668463152,0,-0.5150730720718728,0,-0.49672934190507545,0,-0.582169643201194,0,-0.49786788193973597,0
A,fd93080c3a8150a0,-5.9601045027374896e-05,0,0,16,3,1,0.0,0,-0.07064802130986116,0,-0.0029179855390818604,1,0.0073094671717333914,1,0.48898613736703966,0,-0.025912352184089382,-1
A,feffd23430c45e92,-0.9198962221106517,0,1,31,20,1,0.0,0,-0.08571836396377963,0,-0.11003617934581486,0,-0.06197204108357701,1,0.5966179207369544,1,1.165827082445518,0
B,0527b9bfd4ca5c32,-0.000660314950719476,0,0,27,20,1,0.0,0,-0.03154836875227254,1,0.06473556268498608,1,0.13609807806641924,1,1.2001391855276728,1,1.0161007886244282,0
B,06ad789155565f5a,0.0,0,0,25,14,1,0.0,0,-0.052657400927526396,0,-0.052657400927526396,0,-0.052657400927526396,1,0.30251203529408455,0,-0.5995717540155254,-1
B,07e5f779a38a5796,0.0,0,0,15,23,1,0.0,0,-0.07931729120714325,0,-0.07931729120714325,0,-0.07931729120714325,1,0.23268036693547045,0,-1.0751684654889841,-1
B,0804f9b020455f1f,0.0002350466962903737,0,0,28,23,1,0.0,0,-0.023071857085212692,1,0.003903322560890269,1,0.04636434702444724,1,0.8177528859387726,1,1.2961449198136634,0
B,0a0a0582fa3c59ff,-3.898025252269122e-05,0,0,19,3,1,0.0,0,-0.027859774201298114,1,0.009010995028817928,1,0.09069908508174304,1,1.1781700778670907,1,1.3712800939256569,0
B,0aaa6bcf29195cb8,-0.0013147410899403411,0,0,20,22,1,0.0,1,0.1354935132984432,1,0.2691640299528071,1,0.25137347836391083,1,0.915363493413562,1,1.0613647238315116,0
B,0ad7ad4652905818,-0.9266092628385871,0,1,29,18,1,0.0,1,0.07804162615130546,1,0.06087247969118926,1,0.1460739430440788,1,1.3740070935510844,1,1.7453665226315254,0
B,0dea9a059448523e,1.4960405649411257e-05,0,0,27,22,1,0.0,0,-0.017441482849640845,0,-0.01739432798418336,0,-0.020729258042717108,1,0.3649070063458947,1,0.7579108881526807,0
B,0ec17f3051245c96,-1.2191230711013077,0,1,22,13,1,0.0,1,0.06831881775031,0,-0.14252780235326978,0,-0.14415244441271607,1,0.16350217008477996,1,0.5017730500297112,0
B,10805d90d9bf5515,0.0002873325196095511,0,0,19,11,1,0.0,1,0.010708740370234905,1,0.22584530733112668,1,0.20163458728892128,1,0.7013648357369989,1,0.8709512373910945,0
B,122d10e833ec5acf,0.0,0,0,19,14,1,0.0,0,-0.012712383606936483,0,-0.012712383606936483,0,-0.012712383606936483,1,0.4071421434023397,0,-0.9019018646488548,-1
B,1254de31edae5c4f,-0.0007003350026906219,0,0,23,17,1,0.0,0,-0.1054591819949379,0,-0.09237825110251657,1,0.07264599711753475,1,1.6734510367647124,1,1.7850186895799935,0
B,149c04a77aef5092,-0.0005749292310705647,0,0,24,24,1,0.0,0,-0.06432330711031921,0,-0.14660523910700685,0,-0.15140620668822882,1,0.056628172567182444,1,0.4143748414243438,0
B,16792fe5ad0b5eca,0.9898755726099016,1,0,27,24,1,0.0,1,0.01864890442556577,1,0.07352628772452215,1,0.0735264574930801,1,0.6041479417000389,1,1.2081267305627357,0
B,1ac69808c1e45e62,-1.7764976951717415e-06,0,0,21,21,1,0.0,0,-0.017305937230404536,0,-0.006585665691955749,0,-0.01544241749374976,1,0.33801653928985287,1,0.7766675685473374,0
B,1afa3ad15c605fbc,0.0026601262904704104,0,0,14,4,1,0.0,0,-0.03521670576676805,0,-0.0380977116690643,0,-0.07215392622838143,1,0.036351071843048754,0,-0.0507978834975793,-1
B,1b4d645058d35d62,-7.635569926356389e-05,0,0,25,3,1,0.0,0,-0.07704222305501902,0,-0.08042019646329614,0,-0.08152350441658274,1,0.22166213133975188,1,0.056623617386260316,0
B,1d8274a8ceec5a72,0.0,0,0,24,21,1,0.0,0,-0.023944546552148626,0,-0.023944546552148626,0,-0.023944546552148626,1,0.3777211416835269,1,0.5721580287761813,0
B,2c2ab0ec571852dd,-3.614681723984603e-05,0,0,28,27,1,0.0,1,0.051477858641593974,1,0.003918337057469315,0,-0.001233398174091134,1,0.42947630337037235,1,1.0596894709303524,0
B,2d274a8cb56657bf,-0.00041685487665232834,0,0,30,5,1,0.0,0,-0.018626477019200897,1,0.32560023634513413,1,0.30761435844704754,1,0.9506075021996138,1,1.5965947275151304,0
B,326dfe49624c5c32,0.0,0,0,27,20,1,0.0,0,-0.03156099077253639,0,-0.03156099077253639,0,-0.03156099077253639,1,0.35777098430134713,1,0.8048201158490493,0
B,32821f1c732d5da5,1.5885314031072184e-05,0,0,30,21,1,0.0,1,0.002535558178711634,1,0.1935976659724308,1,0.2911960907515703,1,1.7233775291958342,1,2.10492546411354,0
B,3380e8be77f956ca,-0.00081484532789311,0,0,20,14,1,0.0,0,-0.01278268978777219,1,0.049514246422747085,1,0.07964586707258012,1,0.8079177707737268,1,0.9783268821682175,0
B,35910ea256525c82,-2.032650453309063,0,1,17,4,1,0.0,0,-0.3683065993303758,0,-0.8450695670167518,0,-0.8433483641684362,0,-1.5066904208447804,0,-1.708289705181279,0
B,3620d32850be5d18,0.00986538806068693,0,0,14,0,1,0.0,1,0.10485966584284748,0,-0.10741751086221255,0,-0.054448109932836886,1,0.7464592002785616,1,0.7496066299763002,0
B,37d95c84006f57b3,-0.00023691445795120947,0,0,27,9,1,0.0,1,0.0025807487611613786,1,0.03315274221616086,1,0.03551067514550713,1,0.5323607451696111,1,1.1292042442250414,0
B,3c8232a7b1955d89,-0.9205696552732752,0,1,27,21,1,0.0,0,-0.05966929148345461,1,0.6058254824113684,1,0.6417755421306169,1,1.9998419119519244,1,2.158441324824139,0
B,42b34c2c39b55602,0.005552551513910294,0,0,31,11,1,0.0,1,0.09516264268296365,1,0.09066880396579047,1,0.14192541451148005,1,1.1405680303442018,1,1.593528130180864,0
B,477c8966dc655113,-2.4455273151424706e-05,0,0,17,24,1,0.0,1,0.150168750875741,1,0.06937664236350756,1,0.06360877471917374,1,0.6128943503225164,1,0.449173356101217,0
B,4953d5e90a905936,0.02362654331787617,0,0,21,8,1,0.0,1,0.31818338479941294,1,0.13665349868372056,1,0.2666733816808715,1,2.061472963753977,1,1.8282827189827975,0
B,4c6b2e3789d4516e,-0.0003932225405413191,0,0,23,19,1,0.0,0,-0.15944984996819483,0,-0.42954526931250875,0,-0.4071755174899293,0,-0.3416494318274348,0,-0.09644381476680675,0
B,4cda67de4b225ad2,0.00010108057856594854,0,0,18,9,1,0.0,0,-0.011496651428009303,0,-0.07738057113295986,0,-0.023193355977630534,1,0.7590165856280587,1,0.9763236402068904,0
B,4fdf9da355d35d70,-0.00036944285035156454,0,0,28,21,1,0.0,1,0.011957144143174754,0,-0.034197649420996,1,0.00874640735116004,1,0.7607831649177661,1,1.1570585499274904,0
B,51a847c22f205e28,-0.000727573093399405,0,0,15,2,1,0.0,0,-0.09961982714280153,0,-0.5793948385414596,0,-0.5385184803947187,0,-0.45760775183847735,0,-0.6793882877887341,0
